NAME,LEAGUE,REP,REPCLUB,TEAM,PERSON
Inter Blue,Inter,,,,
Inter Red,Inter,,,,
Inter Yellow,Inter,,,,
Rabbits Blue,Nerga,,,,
Rabbits Red,Nerga,,,,
Rabbits Yellow,Nerga,,,,
Rabbits Green,Nerga,,,,
